source,target
STK11,MARK3
EPHA2,SHC1
CDK2,DLG1
CDK1,RANGAP1
MAP3K5,DAXX
BID,BAK1
PLK1,TOPORS
AKT1,RAF1
BTK,PLCG2
CDK2,ESR1
ATR,MCM6
EID2,SMAD3
VAV2,RAC1
ATM,PNKP
BTRC,PDCD4
TLE1,SIX6
LCK,MED28
RET,DOK4
PLK2,FBXW7
MTOR,GRB10
NUAK2,LATS1
AKT1,PHF20
MAP3K14,IKBKB
AURKA,FAF1
PTPRF,LCK
PIAS1,DDX5
PLK1,ERCC6L
AURKB,MAPRE3
PRKAA2,RPTOR
GSK3B,EIF4EBP1
FGF1,FGFR2
ARRB2,KIF3A
PPP2R5B,AKT1
PDPK1,PRKCQ
CD28,GRB2
HDAC6,SRSF2
CDK7,POLR2A
SKI,SMAD4
AKT2,FOXO3
WNT8B,FZD3
CDK1,SREBF1
MRE11A,ATM
PTPRB,ALK
THRA,RARG
CDK1,NUP50
GDF11,ACTR2
PTK2,PIK3R1
MAML1,HIST1H3J
TAOK3,STK4
HDAC7,PLAGL2
AURKB,RACGAP1
SMO,STK36
AKT1,RARA
KRAS,BRAF
EP300,PLAGL2
CSNK2A1,PTPRC
PTPN9,INSR
AKT2,CHUK
PRKDC,CHEK2
MAPK3,SP1
WNT7A,FZD7
RTN4,LINGO1
CSNK2A1,MAX
STK4,FOXO3
IKBKB,CYLD
RELA,HDAC4
SKI,EP300
MTOR,MAF1
MYOD1,SP1
CHEK2,CDC25C
AKT1,PDCD4
KTN1,KIF5B
GATA3,CEBPB
CASP3,DFFB
VRK1,ATF2
GSK3B,CRMP1
CDK2,CCDC6
SRC,EGFR
NR2E3,NR1D1
IHH,PTCH1
CDK5,STAT3
ERBB3,GRB2
HOOK3,MSR1
PRKAA1,RPTOR
ERBB2,SHC1
AKT2,STK4
AKT1,HSPB1
CASP3,SPTAN1
PLRG1,HNRNPM
SP1,SLC2A1
WWTR1,SMAD3
AKT1,PFKFB2
FBXW7,CCDC6
RPS6KA5,ELK1
SLK,MAP3K5
WWP1,TGFBR1
DUSP7,GHR
AAK1,AP1M1
TIAM1,RAC1
RPS6KB1,PDCD4
NEDD4L,SMAD3
BECN1,PIK3C3
CDK1,CKAP2
PCM1,CEP250
STK3,SAV1
CSNK1A1,GLI3
CDK1,TP73
WNT7B,FZD3
MAML1,NOTCH1
LCK,FOXP3
AKT2,XIAP
GSK3B,HSF1
FRAT1,GSK3B
FGR,PTK2
SRC,PTK2B
EP300,KPNA2
ITCH,GLI1
RPS6KA3,CIC
CDK2,PTHLH
CTNNB1,TCF7
RARB,RXRB
PKN1,MAPT
ILK,AKT1
IKBKB,NFKBIA
GSK3B,PRKCE
GNB1,PLCB1
PPP3CA,NFATC4
PRKAA1,HDAC5
POU5F1,AKT1
CDK1,PLEC
ATM,TAOK1
PRKD1,PI4KB
INSR,INSR
VEGFA,KDR
PAK1,AURKA
LCK,CD33
MEF2A,MYH1
ERBB4,PIK3CB
PRKACA,NCOA3
DVL3,RAC1
ABL2,CRK
LCK,ADAM15
MAPK1,CIC
NRG2,ERBB4
USP9X,SMAD4
CHEK1,RAD51
PTPN11,PTK2
SHC3,GRB2
PLK3,CDC25A
CTNNB1,TCF7L2
CDK1,RPS6KB1
MAPK3,GSK3B
PPP1CA,NEK2
PPP2CA,HDAC4
INSR,INSR
CHEK1,CDC25B
CDK1,CDC27
CDK8,SMAD3
PDPK1,AKT2
SMURF1,SMAD4
AKT3,STK4
CASP3,PTCH1
ABL1,ABL2
SERPINA1,LRP1
AKT1,CLK2
RXRA,RARB
EGFR,EPS15
ATM,RNF40
MAML1,HIST4H4
PLK4,PLK4
SMAD2,SMAD2
CDK5,NOS3
TRPM7,EEF2K
RASSF1,STK3
RPL10,JUN
EFNA3,EPHA7
SH3RF1,MAP3K11
MAML1,MEF2C
PIK3R1,PIK3CB
C1D,NR1D1
PLK1,TOP2A
MTMR4,SMAD3
AKT1,EP300
RET,MAPK3
ABL1,DDX5
RET,MAPK1
FGF1,FGFR1
CSF1,CSF3R
NRG2,ERBB3
CDK1,CDC25B
NRG1,ERBB2
ERBB3,PIK3CA
TFG,SEC16B
PIK3CG,AKT1
TRIM24,AR
PIM1,RPS19
PBK,GPSM2
PTPN22,LCK
SDC4,DVL3
PRKCD,TP73
CDK1,RPA2
CDK1,FEN1
HIPK2,TP53
KDM5B,PAX9
AKT1,STK4
YAP1,TP73
GSK3B,MAPK14
RET,GFRA1
ATR,FANCD2
NEK1,VDAC1
PITX3,MTA1
CHEK1,RB1
BAK1,CYCS
CDC14A,MAPK6
GSK3B,ARNTL
GSK3B,EIF2B1
GSK3B,EIF2B2
PRKACA,GLI3
WNT7B,LRP5
CDK2,LIG3
PTK2,ACTN4
PPM1D,ATM
SP1,MET
DAPK3,RPL13A
EPS15,EGFR
FGF2,FGFR2
